Date,SourceIP,SourcePort,DestIP,DestPort,Protocol,Length
13:17:22.087768,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:22.088959,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:23.090145,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:23.090209,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:24.095411,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:24.095465,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:25.103533,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:25.103609,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:27.897967,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:27.898011,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:28.902548,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:28.902623,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:29.905045,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:29.905144,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:30.910059,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:30.910125,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:32.031219,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:32.031260,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:33.036022,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:33.036083,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:34.039012,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:34.039076,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:35.042089,192.168.72.1,,192.168.72.140,,ICMP,40
13:17:35.042142,192.168.72.140,,192.168.72.1,,ICMP,40
13:17:37.204284,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:17:40.207249,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:17:43.215375,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:17:46.271146,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:17:49.278536,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:17:52.282518,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:18:37.315789,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:18:40.316792,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:18:43.320832,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:18:46.377065,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:18:49.393030,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:18:52.405156,192.168.72.1,62028,239.255.255.250,1900,UDP,133
13:19:34.624625,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:34.625148,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:35.626009,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:35.627180,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:36.628007,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:36.629226,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:37.629941,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:37.631227,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:38.632222,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:38.633654,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:39.634293,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:39.635547,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:40.636128,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:40.636629,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:41.635176,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:41.636447,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:42.637426,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:42.638774,192.168.1.7,,192.168.72.140,,ICMP,64
13:19:43.640242,192.168.72.140,,192.168.1.7,,ICMP,64
13:19:43.641458,192.168.1.7,,192.168.72.140,,ICMP,64
